Id,Postcode,Locality,State,Region,Latitude,Longitude
232,0800,DARWIN,NT,Darwin,-12.3932794,130.7766611
24049,0800,DARWIN CITY,NT,Darwin,-12.3932794,130.7766611
233,0801,DARWIN,NT,Darwin,-12.4634403,130.8456418
234,0804,PARAP,NT,Darwin,-12.4324801,130.8462536
235,0810,ALAWA,NT,Darwin,-12.38,130.873
236,0810,BRINKIN,NT,Darwin,-12.37,130.867
237,0810,CASUARINA,NT,Darwin,-12.373333,130.881667
19972,0810,COCONUT GROVE,NT,Darwin,-12.3989,130.852
239,0810,JINGILI,NT,Darwin,-12.386667,130.875278
240,0810,LEE POINT,NT,Darwin,-12.339444,130.893056
19973,0810,LYONS,NT,Darwin,-12.3603,130.889
241,0810,MILLNER,NT,Darwin,-12.391111,130.863208
242,0810,MOIL,NT,Darwin,-12.388889,130.879167
19974,0810,MUIRHEAD,NT,Darwin,-12.3583,130.896
243,0810,NAKARA,NT,Darwin,-12.369444,130.878056
244,0810,NIGHTCLIFF,NT,Darwin,-12.383,130.849
245,0810,RAPID CREEK,NT,Darwin,-12.380833,130.862222
246,0810,TIWI,NT,Darwin,-12.363333,130.880278
247,0810,WAGAMAN,NT,Darwin,-12.3825,130.885
248,0810,WANGURI,NT,Darwin,-12.3725,130.887778
249,0811,CASUARINA,NT,Darwin,-12.373333,130.881667
19975,0812,ANULA,NT,Darwin,-12.3928,130.89
19976,0812,BUFFALO CREEK,NT,Darwin,-12.3464,130.921
19977,0812,HOLMES,NT,Darwin,-12.3961,130.921
251,0812,KARAMA,NT,Darwin,-12.401069,130.916889
252,0812,LEANYER,NT,Darwin,-12.379444,130.8975
253,0812,MALAK,NT,Darwin,-12.393,130.904
254,0812,MARRARA,NT,Darwin,-12.398333,130.88
255,0812,NORTHLAKES,NT,Darwin,-12.3958,130.895
256,0812,SANDERSON,NT,Darwin,-12.3889,130.898
257,0812,WOODLEIGH GARDENS,NT,Darwin,-12.3794,130.898
258,0812,WULAGI,NT,Darwin,-12.384444,130.893056
24056,0813,KARAMA,NT,Darwin,-19.4914,132.551
259,0813,SANDERSON,NT,Darwin,-19.4914,132.551
260,0814,NIGHTCLIFF,NT,Darwin,-12.383,130.849
261,0815,CHARLES DARWIN UNIVERSITY,NT,Darwin,-12.3718,130.869
262,0820,BAGOT,NT,Darwin,-12.411487,130.85541
263,0820,BAYVIEW,NT,Darwin,-12.4403118,130.860162
264,0820,CHARLES DARWIN,NT,Darwin,-12.4359223,130.8786503
265,0820,COONAWARRA,NT,Darwin,-12.429722,130.911667
266,0820,CULLEN BAY,NT,Darwin,-12.4533181,130.8250685
19978,0820,DARWIN DC,NT,Darwin,-12.4634,130.846
268,0820,DARWIN INTERNATIONAL AIRPORT,NT,Darwin,-12.4154,130.883
269,0820,DARWIN MC,NT,Darwin,-12.3964,130.904
270,0820,EAST POINT,NT,Darwin,-12.410833,130.822222
19979,0820,EATON,NT,Darwin,-12.4256,130.865
271,0820,FANNIE BAY,NT,Darwin,-12.425,130.836389
272,0820,LARRAKEYAH,NT,Darwin,-12.458611,130.821667
273,0820,LUDMILLA,NT,Darwin,-12.414524,130.8500471
274,0820,PARAP,NT,Darwin,-12.4324801,130.8462536
275,0820,RAAF BASE DARWIN,NT,Darwin,-12.4253,130.864
276,0820,STUART PARK,NT,Darwin,-12.448611,130.841667
